phantom,algorithm,n_angles,noise,rmse,ssim,dice
phantom_000.npy,FBP,10,0.0,0.04588527520184102,0.41967374704355587,0.7708489265314162
phantom_000.npy,SIRT,10,0.0,0.023957047317227902,0.6121277096289021,0.9611808650678569
phantom_000.npy,SIRT-TV,10,0.0,0.02040504989451585,0.735975039356074,0.9743595255914319
phantom_000.npy,FBP,10,0.01,0.05000848691282555,0.36379440719531375,0.7049876576992583
phantom_000.npy,SIRT,10,0.01,0.023994465024778228,0.6109376732724845,0.9600720664139375
phantom_000.npy,SIRT-TV,10,0.01,0.020510037599190338,0.7332657441144446,0.973941171338644
phantom_000.npy,FBP,10,0.05,0.10282058539012516,0.22880713039087922,0.41547241840654564
phantom_000.npy,SIRT,10,0.05,0.024869491694920746,0.5861768922805147,0.9517016197919578
phantom_000.npy,SIRT-TV,10,0.05,0.022320890933335728,0.6723068688774397,0.964996857683065
phantom_000.npy,FBP,30,0.0,0.02340203299287319,0.512258155727227,0.9081375709912904
phantom_000.npy,SIRT,30,0.0,0.014976342333099439,0.8016537496697558,0.9899936634624459
phantom_000.npy,SIRT-TV,30,0.0,0.009257294952430748,0.9516781149828542,0.9975075327001459
phantom_000.npy,FBP,30,0.01,0.02616064906254997,0.4625690031961903,0.8874738911578054
phantom_000.npy,SIRT,30,0.01,0.015154127497540077,0.7951882282074255,0.9891890579999353
phantom_000.npy,SIRT-TV,30,0.01,0.009378550895353496,0.9484679583365997,0.9971764820098487
phantom_000.npy,FBP,30,0.05,0.05988157382839438,0.2673125118173958,0.588550698117537
phantom_000.npy,SIRT,30,0.05,0.018878331465205324,0.6865669921119882,0.968639884416262
phantom_000.npy,SIRT-TV,30,0.05,0.01174600989107032,0.8867169387182294,0.9901099804679865
phantom_000.npy,FBP,90,0.0,0.011146503897925613,0.7340624666765153,0.9827357957509543
phantom_000.npy,SIRT,90,0.0,0.008807155508103773,0.9387015856214007,0.9987772619304686
phantom_000.npy,SIRT-TV,90,0.0,0.00696895519083979,0.9744172109707773,0.9995239206282629
phantom_000.npy,FBP,90,0.01,0.013188081516526043,0.6740170917722578,0.9722444929066556
phantom_000.npy,SIRT,90,0.01,0.009387234462040369,0.9177754389518601,0.9982380698426414
phantom_000.npy,SIRT-TV,90,0.01,0.0069931914283196,0.9739270498361386,0.999379570608911
phantom_000.npy,FBP,90,0.05,0.03515480307559662,0.35729210812597123,0.7828565653033797
phantom_000.npy,SIRT,90,0.05,0.018500848540553227,0.6875341598817293,0.9641092649538077
phantom_000.npy,SIRT-TV,90,0.05,0.008069166488693321,0.9419247775769157,0.9964873833232349
phantom_000.npy,FBP,180,0.0,0.0070498889193362545,0.8531916883732126,0.9968887031936428
phantom_000.npy,SIRT,180,0.0,0.006953603548730166,0.967375581940496,0.9990863438774918
