phantom,algorithm,n_angles,noise,rmse,ssim,dice
phantom_004.npy,SIRT,120,0.0,0.006751385834118872,0.9578463081319721,0.9998907606152857
phantom_004.npy,FBP,180,0.0,0.006809133437611474,0.8586321133751599,0.9996113414082225
phantom_004.npy,SIRT,180,0.0,0.00600057851158223,0.9685897582915863,0.9999814483480784
phantom_005.npy,FBP,5,0.0,0.040964864305334726,0.39971726946533637,0.8141273833950018
phantom_005.npy,SIRT,5,0.0,0.021564494013024377,0.6237451094228671,0.9688109498579437
phantom_005.npy,FBP,10,0.0,0.04096486283630965,0.3997172821496707,0.8141277379956484
phantom_005.npy,SIRT,10,0.0,0.021564495097432346,0.6237450946880456,0.9688109498579437
phantom_005.npy,FBP,20,0.0,0.026772873788624557,0.455838102044377,0.8984779980772709
phantom_005.npy,SIRT,20,0.0,0.016061759728789385,0.7264566857070405,0.9894292982680312
phantom_005.npy,FBP,30,0.0,0.020688070732842293,0.5069225895130007,0.9411701961575272
phantom_005.npy,SIRT,30,0.0,0.013066931903267982,0.8080229540294503,0.995158012175305
phantom_005.npy,FBP,60,0.0,0.01329798748541936,0.6448911635642414,0.9839365134394754
phantom_005.npy,SIRT,60,0.0,0.009408010925880445,0.9124492373531663,0.9988644035690174
phantom_005.npy,FBP,90,0.0,0.010275262898561139,0.7311864565029307,0.9958061550584424
phantom_005.npy,SIRT,90,0.0,0.007840816302041718,0.940632796838287,0.9994481204030276
phantom_005.npy,FBP,120,0.0,0.00862340852422153,0.7859355933205693,0.9985298721805534
phantom_005.npy,SIRT,120,0.0,0.007019092846391598,0.954210243559035,0.9995851239235812
phantom_005.npy,FBP,180,0.0,0.006989709487168799,0.8441016160804017,0.9993845447819023
phantom_005.npy,SIRT,180,0.0,0.006245414615115248,0.9659557144421947,0.9996803128076017
phantom_006.npy,FBP,5,0.0,0.036490714829390626,0.4102049803101361,0.8468569309523667
phantom_006.npy,SIRT,5,0.0,0.01930855853347105,0.6447135415731096,0.9787411718942376
phantom_006.npy,FBP,10,0.0,0.036490712448395836,0.4102050046571335,0.8468544984440393
phantom_006.npy,SIRT,10,0.0,0.019308559784687818,0.6447135022547205,0.9787411718942376
phantom_006.npy,FBP,20,0.0,0.024329862034395904,0.4710201224368225,0.931563655502952
phantom_006.npy,SIRT,20,0.0,0.014413374811284541,0.750749764337205,0.9918271443276779
phantom_006.npy,FBP,30,0.0,0.018891820095097992,0.5216682168736816,0.9629335470446386
phantom_006.npy,SIRT,30,0.0,0.011965601832314288,0.8278617295807522,0.9962833744032661
phantom_006.npy,FBP,60,0.0,0.012365396121953866,0.6569298191234956,0.9904309729008847
phantom_006.npy,SIRT,60,0.0,0.008709604272193595,0.9198597685046682,0.9986723729591241
phantom_006.npy,FBP,90,0.0,0.009663053294630554,0.7416256405914299,0.9975461089658059
phantom_006.npy,SIRT,90,0.0,0.007300039721932338,0.9445374274363545,0.9996286191516575
phantom_006.npy,FBP,120,0.0,0.008212185843441223,0.7939645579138884,0.9990528698044924
phantom_006.npy,SIRT,120,0.0,0.006543600978502561,0.956477437245293,0.9999103011435245
phantom_006.npy,FBP,180,0.0,0.0067321531380711555,0.8496988559816643,0.9997797793987706
phantom_006.npy,SIRT,180,0.0,0.005842651092416664,0.9673055944400689,0.9999655684824762
phantom_007.npy,FBP,5,0.0,0.04797038672530783,0.415338144142129,0.731456771512386
phantom_007.npy,SIRT,5,0.0,0.025988614451025856,0.5960203478218937,0.956636469289255
phantom_007.npy,FBP,10,0.0,0.047970390463634265,0.4153381289544192,0.7314526099207163
phantom_007.npy,SIRT,10,0.0,0.025988615024719598,0.5960203242933675,0.9566376261954402
phantom_007.npy,FBP,20,0.0,0.0321321743917598,0.44654032325252335,0.846733300828864
phantom_007.npy,SIRT,20,0.0,0.019350732230453218,0.696337985157724,0.9835486512582959
phantom_007.npy,FBP,30,0.0,0.024870048298562316,0.48825811698396293,0.8944832546728282
phantom_007.npy,SIRT,30,0.0,0.01551499133223746,0.7812137718674882,0.9920465045127734
phantom_007.npy,FBP,60,0.0,0.01561332004699378,0.6157640155847297,0.9604530245293557
phantom_007.npy,SIRT,60,0.0,0.011105586986393958,0.9000994840828034,0.9972897340413811
phantom_007.npy,FBP,90,0.0,0.011791542790317,0.7062803990374245,0.9848242329993886
phantom_007.npy,SIRT,90,0.0,0.009240249775359118,0.9322907065123696,0.9984369970269896
phantom_007.npy,FBP,120,0.0,0.009667713688849108,0.7654268698462303,0.9933197221751319
phantom_007.npy,SIRT,120,0.0,0.00824465417079677,0.9490418238754591,0.9987123875175027
phantom_007.npy,FBP,180,0.0,0.00745973915309162,0.8347170487837965,0.9969606950907499
phantom_007.npy,SIRT,180,0.0,0.007325823544774784,0.9642239547852121,0.9987145459531458
phantom_008.npy,FBP,5,0.0,0.03818737547925607,0.5450708659881234,0.803059465598601
phantom_008.npy,SIRT,5,0.0,0.021289179214890187,0.696251943019379,0.959471949268589
phantom_008.npy,FBP,10,0.0,0.038187380761703256,0.5450708354424274,0.803061978300308
phantom_008.npy,SIRT,10,0.0,0.021289182732738023,0.6962519048192497,0.9594707993124476
phantom_008.npy,FBP,20,0.0,0.0243451147138566,0.5811794738992762,0.8949158049878727
phantom_008.npy,SIRT,20,0.0,0.015562411971026445,0.7755698314676318,0.9824350782016352
phantom_008.npy,FBP,30,0.0,0.019048508559190505,0.6170675325843291,0.9317383379393215
phantom_008.npy,SIRT,30,0.0,0.012653139470155138,0.8354954050063595,0.9933865768428279
phantom_008.npy,FBP,60,0.0,0.012241643414378552,0.7158932034741073,0.9809561755133137
phantom_008.npy,SIRT,60,0.0,0.008950379346988014,0.9256587708975114,0.9984434186719862
phantom_008.npy,FBP,90,0.0,0.009375520555215087,0.7822389492912585,0.9942207742357778
phantom_008.npy,SIRT,90,0.0,0.0074348166165466275,0.9501487075964249,0.9992282518964298
phantom_008.npy,FBP,120,0.0,0.00782521624587195,0.8250341147883824,0.9979491264947558
phantom_008.npy,SIRT,120,0.0,0.006606843236271378,0.961992832635256,0.9994930635768197
phantom_008.npy,FBP,180,0.0,0.006240792124437427,0.8723811957608981,0.9992613153967974
phantom_008.npy,SIRT,180,0.0,0.005867575448207689,0.9727884466789111,0.9996261380599524
phantom_009.npy,FBP,5,0.0,0.0568267588108975,0.46648547075944446,0.5882388332519192
phantom_009.npy,SIRT,5,0.0,0.03002032587794911,0.6273980074503709,0.9340199920492992
phantom_009.npy,FBP,10,0.0,0.05682678415816504,0.4664854714143446,0.5882314179340734
phantom_009.npy,SIRT,10,0.0,0.03002032756453106,0.6273979738593897,0.9340199920492992
phantom_009.npy,FBP,20,0.0,0.037303449349532364,0.4903199370636524,0.7934757489992222
phantom_009.npy,SIRT,20,0.0,0.02213063037564362,0.7042358169284516,0.9744766009101745
phantom_009.npy,FBP,30,0.0,0.02867134699469149,0.5227445286576641,0.8555185760422059
