phantom,n_angles,noise,n_iter,rmse,ssim,dice
phantom_000.npy,180,0.0,5,0.023409439529909128,0.7366714467800674,0.9879763810298771
phantom_000.npy,180,0.0,10,0.01796105342456596,0.8455330930025746,0.9978169972183232
phantom_000.npy,180,0.0,25,0.0120811407443725,0.9342275051313048,0.999337709933137
phantom_000.npy,180,0.0,50,0.008869822223437242,0.9616728862655209,0.9992835758067192
phantom_000.npy,180,0.0,100,0.006953603706618839,0.9673755796618514,0.9990863438774918
phantom_000.npy,180,0.0,200,0.00611337104669673,0.9650181732456111,0.9990025765647333
phantom_000.npy,180,0.0,500,0.005813565800535986,0.9622059808716711,0.9989593049074645
phantom_002.npy,180,0.0,5,0.02646967342598433,0.6825533019252736,0.9895784150039671
phantom_002.npy,180,0.0,10,0.019528975639298823,0.8105728946172756,0.9972173246004552
phantom_002.npy,180,0.0,25,0.01289595107939842,0.914459720816936,0.9990818667207552
phantom_002.npy,180,0.0,50,0.009573668010895322,0.9501455799773095,0.9994668914085238
phantom_002.npy,180,0.0,100,0.007567540597995525,0.9585389501901775,0.9995432787489366
phantom_002.npy,180,0.0,200,0.006689061000067957,0.9565658836386542,0.9995216783600624
phantom_002.npy,180,0.0,500,0.006368567205365596,0.9537735754975888,0.9994932708922842
phantom_003.npy,180,0.0,5,0.02693214407343887,0.7084459290911257,0.9894498778976747
phantom_003.npy,180,0.0,10,0.02057791481076637,0.8167564361288925,0.9966752725719275
phantom_003.npy,180,0.0,25,0.013718125895073808,0.9123165120741111,0.9992501028084859
phantom_003.npy,180,0.0,50,0.010180457429550576,0.9477236587528424,0.9995840587491428
phantom_003.npy,180,0.0,100,0.008056961609973134,0.956512330683844,0.9996872574150708
phantom_003.npy,180,0.0,200,0.007110246054588686,0.9550409119848425,0.9996472131232995
phantom_003.npy,180,0.0,500,0.006764643697127271,0.95265818957021,0.9995103068309404
phantom_004.npy,180,0.0,5,0.02014422107729447,0.7305604791770312,0.9891012494438108
phantom_004.npy,180,0.0,10,0.015145372497412143,0.8355342188260554,0.9956001765678092
phantom_004.npy,180,0.0,25,0.010117853155263564,0.9271689881400998,0.9996764534350547
phantom_004.npy,180,0.0,50,0.007555836710971367,0.959443551693697,0.9999278582559012
phantom_004.npy,180,0.0,100,0.00600057851158223,0.9685897582915863,0.9999814483480784
phantom_004.npy,180,0.0,200,0.005292851823436336,0.9688022281112361,0.9999814480803917
phantom_004.npy,180,0.0,500,0.005024093309385817,0.9676122459007078,0.9999567110275566
phantom_005.npy,180,0.0,5,0.021007982251819605,0.7132197915153458,0.9879671411507164
phantom_005.npy,180,0.0,10,0.015919526832698396,0.8283546365183039,0.9967448832572512
phantom_005.npy,180,0.0,25,0.010614269041625175,0.9235607086826376,0.9992278502281969
phantom_005.npy,180,0.0,50,0.007846797870504688,0.9569571758412093,0.9995977606734302
phantom_005.npy,180,0.0,100,0.006245414615115248,0.9659557144421947,0.9996803128076017
phantom_005.npy,180,0.0,200,0.005537522040294254,0.9656626349457708,0.999666719460377
phantom_005.npy,180,0.0,500,0.005270780482959562,0.9641256376291532,0.9996793426719112
phantom_006.npy,180,0.0,5,0.019196275229186925,0.7065921469056673,0.9898536857095367
phantom_006.npy,180,0.0,10,0.014457897671517426,0.8243180857874526,0.9972127778410416
phantom_006.npy,180,0.0,25,0.009800181384247977,0.9214495194793968,0.9995453228026955
phantom_006.npy,180,0.0,50,0.007331078120283899,0.9566779626718109,0.9997182754106974
phantom_006.npy,180,0.0,100,0.005842651092416664,0.9673055944400689,0.9999655684824762
phantom_006.npy,180,0.0,200,0.005162780271905753,0.9683423973743193,0.999985502203665
phantom_006.npy,180,0.0,500,0.0048999018409202144,0.9675629908900989,0.9999791593611166
phantom_007.npy,180,0.0,5,0.0247313688804265,0.7242189280611679,0.9901379854825113
phantom_007.npy,180,0.0,10,0.019174686274239024,0.8356622330238596,0.9977907932593506
phantom_007.npy,180,0.0,25,0.01283816740272701,0.9285743069460122,0.9988308642065897
phantom_007.npy,180,0.0,50,0.00938277426461752,0.9579864509342287,0.9989428399430308
phantom_007.npy,180,0.0,100,0.007325823544774784,0.9642239547852121,0.9987145459531458
phantom_007.npy,180,0.0,200,0.006402878314271436,0.961563979682121,0.9985343904006857
phantom_007.npy,180,0.0,500,0.006069433566740832,0.9582080382610256,0.9983246504177352
phantom_008.npy,180,0.0,5,0.020456366655278967,0.7713623122343254,0.9813358291364689
phantom_008.npy,180,0.0,10,0.015452078736483691,0.8648622539142512,0.9937157416923604
phantom_008.npy,180,0.0,25,0.010140908292648014,0.9400672937547765,0.99824200677143
phantom_008.npy,180,0.0,50,0.007436029165417129,0.9661997186161664,0.9994110639304894
phantom_008.npy,180,0.0,100,0.005867575448207689,0.9727884466789111,0.9996261380599524
phantom_008.npy,180,0.0,200,0.005165210588935259,0.9718357577014196,0.9997162136171736
phantom_008.npy,180,0.0,500,0.004905641007266689,0.9700167079451569,0.9997404075198427
phantom_009.npy,180,0.0,5,0.028647860270988902,0.7430604730213892,0.9844445036358309
phantom_009.npy,180,0.0,10,0.021928924580322258,0.844038558574984,0.9948659870732238
phantom_009.npy,180,0.0,25,0.01459965739098703,0.9271929100884144,0.9985652658030678
phantom_009.npy,180,0.0,50,0.010785046204161385,0.9540707035538016,0.9994086857493265
phantom_009.npy,180,0.0,100,0.008461289904847291,0.9571796937873485,0.9996483667303825
phantom_009.npy,180,0.0,200,0.007429994847878497,0.9517883915231204,0.9996653821396805
phantom_009.npy,180,0.0,500,0.007062846441756889,0.9468544671307243,0.9994839425813095
phantom_010.npy,180,0.0,5,0.024937353484132604,0.6821615727107342,0.9852708532762195
phantom_010.npy,180,0.0,10,0.018975668556304788,0.803278592486689,0.9922847554427199
phantom_010.npy,180,0.0,25,0.012480660673073272,0.9100861702042087,0.9976004719219732
phantom_010.npy,180,0.0,50,0.009158899746524835,0.9487765735690388,0.9988344180707842
phantom_010.npy,180,0.0,100,0.007240631998479806,0.9590999834322715,0.9990995515535624
phantom_010.npy,180,0.0,200,0.006379955702996055,0.9583344506346391,0.998963017857952
phantom_010.npy,180,0.0,500,0.006056072907459425,0.9561434669037676,0.9987970710367755
phantom_011.npy,180,0.0,5,0.023556019607431127,0.7380049894327075,0.9875696009437855
phantom_011.npy,180,0.0,10,0.017975700142125007,0.8400652907864017,0.996749430472
phantom_011.npy,180,0.0,25,0.012061253721609762,0.9267296452153234,0.9995642029097335
phantom_011.npy,180,0.0,50,0.008989776012705373,0.9573401428684879,0.9997097273937977
phantom_011.npy,180,0.0,100,0.007101169291226232,0.9645301536139711,0.9995780893537155
phantom_011.npy,180,0.0,200,0.006247339237176442,0.9627875912549297,0.9995128009378582
phantom_011.npy,180,0.0,500,0.005934358426656705,0.9602499370473593,0.9994845080532022
phantom_012.npy,180,0.0,5,0.027146035002724635,0.756248728209492,0.9856552430415859
phantom_012.npy,180,0.0,10,0.020683174355026347,0.8469904329507751,0.9946438562276343
phantom_012.npy,180,0.0,25,0.013558757488582361,0.9291790701024176,0.9977961000766468
phantom_012.npy,180,0.0,50,0.009901423649335203,0.9560127960274264,0.9992300468102114
phantom_012.npy,180,0.0,100,0.00775608418022309,0.9607989303106292,0.9994507394175386
phantom_012.npy,180,0.0,200,0.006798674954965433,0.9571627687189674,0.9995230008031735
phantom_012.npy,180,0.0,500,0.006446837990983019,0.953358670593254,0.9994359053596349
phantom_013.npy,180,0.0,5,0.021358685997534176,0.7668853624969947,0.9836933643513903
phantom_013.npy,180,0.0,10,0.016388441634726043,0.8640028428850105,0.9969531813934229
phantom_013.npy,180,0.0,25,0.010970033451616732,0.9415822295495152,0.9992413511228563
phantom_013.npy,180,0.0,50,0.00810656640046616,0.9662313885681018,0.9996457440984188
phantom_013.npy,180,0.0,100,0.006387221503545832,0.9718010724079503,0.9997759354694152
phantom_013.npy,180,0.0,200,0.005609121212853135,0.9702638898965008,0.9998011332603222
phantom_013.npy,180,0.0,500,0.005334360658564882,0.9680852308542108,0.9997492909415596
phantom_014.npy,180,0.0,5,0.02380477774384346,0.78146389925037,0.9743074508733625
phantom_014.npy,180,0.0,10,0.01815423045585179,0.8719416513117046,0.9900326371095511
phantom_014.npy,180,0.0,25,0.011788886827352733,0.9451573741807673,0.9959583096875995
phantom_014.npy,180,0.0,50,0.0085705287126244,0.9669128649810483,0.9972013745323349
phantom_014.npy,180,0.0,100,0.006732262610510106,0.9701354935891479,0.9976553503794447
phantom_014.npy,180,0.0,200,0.005925476778685799,0.9665080590331154,0.99777435073665
phantom_014.npy,180,0.0,500,0.005635687278625277,0.9629704520355475,0.99781601439106
phantom_015.npy,180,0.0,5,0.02410834718991448,0.755591668364409,0.9863418214827039
